tx_time,ack_time,latency_ms,jitter_ms
10.155918862,10.172631947,16.71308499999924,
10.178806924,10.180441193,1.634269000000188,15.078815999999051
10.286634593,10.287505655,0.871061999999867,0.763207000000321
10.3930757,10.394408161,1.3324609999987302,0.46139899999886325
10.502730322,10.503772275,1.0419529999996513,0.29050799999907895
10.611408925,10.612055353,0.6464280000013645,0.39552499999828683
10.719104495,10.719923028,0.8185330000003432,0.17210499999897877
10.832790675,10.833338958,0.5482830000005379,0.27024999999980537
11.103357303,11.104245086,0.8877830000013631,0.33950000000082525
11.231527047,11.232453944,0.9268969999993715,0.03911399999800835
11.365535554,11.366346452,0.8108980000010035,0.11599899999836794
11.49689597,11.497777672,0.8817019999991516,0.07080399999814802
11.644826603,11.645344449,0.5178459999992668,0.3638559999998847
11.756965317,11.758104153,1.1388359999990882,0.6209899999998214
12.299623086,12.300341089,0.7180029999993565,0.4208329999997318
13.168911245,13.169893045,0.9817999999999216,0.26379700000056516
13.270339525,13.270786527,0.44700199999958556,0.5347980000003361
13.270486211,13.270913516,0.42730500000054406,0.01969699999904151
13.376850743,13.377144336,0.29359300000031396,0.1337120000002301
13.495023658,13.495766528,0.7428700000016164,0.44927700000130244
13.4950248,13.495898046,0.8732460000011599,0.13037599999954352
13.628574001,13.628811669,0.23766799999869193,0.635578000002468
13.801868823,13.803081077,1.2122540000003568,0.9745860000016648
13.801869674,13.803239035,1.3693610000000689,0.15710699999971212
13.985867014,13.986229166,0.3621519999992273,1.0072090000008416
14.061153961,14.062170176,1.0162149999999315,0.6540630000007042
14.061286932,14.062440325,1.1533930000009462,0.13717800000101477
14.172981318,14.173276784,0.29546600000074363,0.8579270000002026
14.26818633,14.268821196,0.6348659999986239,0.3393999999978803
14.26833512,14.269092999,0.7578790000000168,0.12301300000139292
14.378647973,14.378968106,0.32013300000066636,0.4377459999993505
14.478969107,14.4795227,0.5535930000011291,0.23346000000046274
14.478969427,14.47969251,0.7230830000004573,0.16948999999932823
14.591618082,14.591955447,0.3373650000000339,0.38571800000042344
14.686957808,14.687595149,0.6373409999991253,0.2999759999990914
14.687114513,14.687796398,0.6818850000005483,0.044544000001423
14.797980368,14.798280994,0.3006260000013583,0.38125899999919
14.896174132,14.896706135,0.5320030000000031,0.2313769999986448
14.896317643,14.896856338,0.5386949999994783,0.006691999999475229
15.006176901,15.006465725,0.28882400000007635,0.249870999999402
15.107515672,15.108330768,0.8150960000001817,0.5262720000001053
15.108644008,15.108709692,0.0656839999990666,0.7494120000011151
15.225958185,15.226241449,0.2832640000001163,0.2175800000010497
15.324930166,15.325665491,0.7353250000008416,0.45206100000072524
15.359616752,15.359878575,0.26182299999888414,0.4735020000019574
15.478412911,15.478646842,0.2339310000003536,0.027891999998530537
15.57558466,15.576060096,0.4754360000003288,0.2415049999999752
15.575735965,15.576199018,0.4630530000007127,0.012382999999616118
15.688319917,15.688553878,0.23396100000105946,0.22909199999965324
15.787873525,15.788405928,0.5324029999993485,0.298441999998289
15.787873865,15.788530563,0.6566980000002332,0.12429500000088467
15.951997624,15.952309732,0.312107999999256,0.34459000000097717
16.01817291,16.018828465,0.6555549999980315,0.3434469999987755
16.018310399,16.01903784,0.7274409999986631,0.07188600000063161
16.145371774,16.145644698,0.27292400000078487,0.4545169999978782
16.286997555,16.287520841,0.5232859999999562,0.2503619999991713
16.286997886,16.287675843,0.6779569999970647,0.15467099999710854
16.397769633,16.398070971,0.3013379999998733,0.3766189999971914
16.501763708,16.502386572,0.6228640000003338,0.3215260000004605
16.501912859,16.502602128,0.6892689999986601,0.06640499999832628
16.682968015,16.683394489,0.4264740000010647,0.26279499999759537
16.761092299,16.761773422,0.6811229999996726,0.2546489999986079
16.761234697,16.762064621,0.8299240000013697,0.14880100000169705
16.876972763,16.877288138,0.31537499999956253,0.5145490000018071
16.990623747,16.991297747,0.6740000000000634,0.3586250000005009
16.990772417,16.991482735,0.7103180000029852,0.036318000002921735
17.107399308,17.107664889,0.26558099999718365,0.4447370000058015
17.215758269,17.21650691,0.7486410000012711,0.48306000000408744
17.215905386,17.216682881,0.7774950000012382,0.028853999999967073
17.339996985,17.340227619,0.23063400000111756,0.5468610000001206
17.573134468,17.573873411,0.7389430000017683,0.5083090000006507
17.57327878,17.574117921,0.8391410000001542,0.10019799999838597
17.687003202,17.687445205,0.4420029999998576,0.39713800000029664
17.795994654,17.796718368,0.7237139999993758,0.2817109999995182
17.795995055,17.79682025,0.825195000000889,0.10148100000151317
17.909486017,17.90977961,0.2935930000020903,0.5316019999987986
18.02096634,18.021834526,0.8681859999981612,0.5745929999960708
18.02111486,18.022020747,0.9058869999982733,0.03770100000011212
18.182019492,18.182357549,0.3380570000004468,0.5678299999978265
18.292028842,18.292798793,0.7699509999987697,0.4318939999983229
18.292029283,18.29304624,1.016956999997376,0.24700599999860628
18.445298677,18.445727004,0.42832699999806323,0.5886299999993128
18.541382265,18.542185669,0.8034039999991194,0.37507700000105615
18.541526286,18.542295686,0.769399999999365,0.03400399999975434
18.653371897,18.65370273,0.33083299999958626,0.4385669999997788
18.96994848,18.971016222,1.0677420000000382,0.7369090000004519
18.970096559,18.971153521,1.056961999999828,0.010780000000210066
19.082489422,19.08289709,0.4076680000011379,0.6492939999986902
19.183406398,19.184095166,0.6887679999998397,0.28109999999870183
19.183553946,19.184270086,0.7161400000015306,0.02737200000169082
19.294966822,19.295322231,0.3554090000008614,0.36073100000066916
19.391293768,19.39196897,0.6752020000000414,0.31979299999918
19.391445815,19.392151585,0.7057699999997169,0.03056799999967552
